programming_language,tools_programming_languages,salary_monthly_NETO,salary_monthly_BRUTO,cured_programming_languages
cobol,"COBOL, Javascript, PHP, SQL",101000.0,146000.0,"['cobol', 'javascript', 'php', 'sql']"
javascript,"COBOL, Javascript, PHP, SQL",101000.0,146000.0,"['cobol', 'javascript', 'php', 'sql']"
php,"COBOL, Javascript, PHP, SQL",101000.0,146000.0,"['cobol', 'javascript', 'php', 'sql']"
sql,"COBOL, Javascript, PHP, SQL",101000.0,146000.0,"['cobol', 'javascript', 'php', 'sql']"
bash/shell,"Bash/Shell, PowerShell",52000.0,60840.0,"['bash/shell', 'powershell']"
bash/shell,"Bash/Shell, C, HTML, Javascript, Python",90771.0,128490.0,"['bash/shell', 'c', 'html', 'javascript', 'python']"
c,"Bash/Shell, C, HTML, Javascript, Python",90771.0,128490.0,"['bash/shell', 'c', 'html', 'javascript', 'python']"
html,"Bash/Shell, C, HTML, Javascript, Python",90771.0,128490.0,"['bash/shell', 'c', 'html', 'javascript', 'python']"
javascript,"Bash/Shell, C, HTML, Javascript, Python",90771.0,128490.0,"['bash/shell', 'c', 'html', 'javascript', 'python']"
python,"Bash/Shell, C, HTML, Javascript, Python",90771.0,128490.0,"['bash/shell', 'c', 'html', 'javascript', 'python']"
bash/shell,"Bash/Shell, C, Perl, PHP",62000.0,70000.0,"['bash/shell', 'c', 'perl', 'php']"
c,"Bash/Shell, C, Perl, PHP",62000.0,70000.0,"['bash/shell', 'c', 'perl', 'php']"
php,"Bash/Shell, C, Perl, PHP",62000.0,70000.0,"['bash/shell', 'c', 'perl', 'php']"
html,"HTML, Perl, SQL",80000.0,80000.0,"['html', 'perl', 'sql']"
